left_index,right_index,left_id,right_id,cosine_similarity,same_action_type,source_overlap,name_jaccard,mutual_top_k,adaptive_floor,high_match,evidence_match,lexical_match,action_match,connect,reason
0,1,T2-000001,T2-000002,0.925206,False,True,0.375,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,2,T2-000001,T2-000003,0.90132,True,True,0.181818,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
0,3,T2-000001,T2-000004,0.927588,True,True,0.428571,False,0.91,True,False,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
0,4,T2-000001,T2-000005,0.923833,False,True,0.2,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,5,T2-000001,T2-000006,0.91575,True,True,0.222222,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
0,7,T2-000001,T2-000008,0.930687,True,False,0.2,False,0.91,True,False,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'ACTION_AND_NAME_EVIDENCE']"
0,10,T2-000001,T2-000011,0.92485,False,False,0.222222,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,19,T2-000001,T2-000020,0.929952,False,False,0.222222,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,20,T2-000001,T2-000021,0.925182,False,False,0.222222,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,21,T2-000001,T2-000022,0.922627,False,False,0.222222,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,26,T2-000001,T2-000027,0.921577,False,False,0.285714,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,27,T2-000001,T2-000028,0.921935,True,False,0.25,False,0.91,True,False,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'ACTION_AND_NAME_EVIDENCE']"
0,28,T2-000001,T2-000029,0.92593,True,False,0.142857,False,0.91,True,False,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'ACTION_AND_NAME_EVIDENCE']"
0,29,T2-000001,T2-000030,0.92261,True,False,0.222222,False,0.91,True,False,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'ACTION_AND_NAME_EVIDENCE']"
0,30,T2-000001,T2-000031,0.929683,False,False,0.25,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,31,T2-000001,T2-000032,0.920149,False,False,0.222222,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
0,32,T2-000001,T2-000033,0.916916,True,False,0.222222,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
0,33,T2-000001,T2-000034,0.898238,True,False,0.25,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
0,34,T2-000001,T2-000035,0.919704,True,False,0.222222,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
1,3,T2-000002,T2-000004,0.931077,False,True,0.375,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
1,7,T2-000002,T2-000008,0.920961,False,False,0.181818,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
1,19,T2-000002,T2-000020,0.952546,False,False,0.2,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
1,20,T2-000002,T2-000021,0.929975,False,False,0.2,False,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
