left_index,right_index,left_id,right_id,cosine_similarity,same_action_type,source_overlap,name_jaccard,mutual_top_k,adaptive_floor,high_match,evidence_match,lexical_match,action_match,connect,reason
1,5,T2-000002,T2-000006,0.892239,True,True,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
2,3,T2-000003,T2-000004,0.936579,True,True,0.0,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
2,12,T2-000003,T2-000013,0.926762,False,False,0.166667,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
3,16,T2-000004,T2-000017,0.926105,True,False,0.333333,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
3,17,T2-000004,T2-000018,0.907777,True,False,0.125,True,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
4,8,T2-000005,T2-000009,0.912968,True,False,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
7,11,T2-000008,T2-000012,0.940775,True,False,0.4,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
8,10,T2-000009,T2-000011,0.914149,True,True,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
8,14,T2-000009,T2-000015,0.916381,True,False,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
9,14,T2-000010,T2-000015,0.923452,False,False,0.0,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
9,19,T2-000010,T2-000020,0.924555,True,False,0.0,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
10,12,T2-000011,T2-000013,0.913432,True,False,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
10,14,T2-000011,T2-000015,0.921029,True,False,0.0,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
12,13,T2-000013,T2-000014,0.933938,True,True,0.142857,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
13,14,T2-000014,T2-000015,0.91917,True,True,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
13,16,T2-000014,T2-000017,0.927597,False,False,0.142857,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
16,17,T2-000017,T2-000018,0.955182,True,True,0.5,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
20,22,T2-000021,T2-000023,0.916386,True,False,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
20,24,T2-000021,T2-000025,0.936608,True,False,0.4,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
21,22,T2-000022,T2-000023,0.961646,False,True,0.5,True,0.91,True,True,True,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP']"
22,24,T2-000023,T2-000025,0.914065,True,False,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
25,26,T2-000026,T2-000027,0.95009,True,True,0.5,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
