group_no,group_type,size,task2_ids,min_pair_similarity,average_pair_similarity,max_pair_similarity,exceeds_group_limit
1.0,SIMILAR,2,"['T2-000002', 'T2-000006']",0.892239,0.892239,0.892239,False
2.0,SIMILAR,6,"['T2-000003', 'T2-000004', 'T2-000013', 'T2-000014', 'T2-000017', 'T2-000018']",0.878721,0.908433,0.955182,False
3.0,SIMILAR,6,"['T2-000005', 'T2-000009', 'T2-000010', 'T2-000011', 'T2-000015', 'T2-000020']",0.888548,0.906323,0.924555,False
4.0,SIMILAR,2,"['T2-000008', 'T2-000012']",0.940775,0.940775,0.940775,False
5.0,SIMILAR,4,"['T2-000021', 'T2-000022', 'T2-000023', 'T2-000025']",0.901908,0.922118,0.961646,False
6.0,SIMILAR,2,"['T2-000026', 'T2-000027']",0.95009,0.95009,0.95009,False
,SINGLETON,1,['T2-000001'],,,,False
,SINGLETON,1,['T2-000007'],,,,False
,SINGLETON,1,['T2-000016'],,,,False
,SINGLETON,1,['T2-000019'],,,,False
,SINGLETON,1,['T2-000024'],,,,False
