gold_id,missing_required_fields,required_field_completeness,requirement_name_length,requirement_detail_length,name_length_ok,detail_length_ok,name_not_placeholder,detail_not_placeholder,detail_has_sentence_end,source_task2_count,source_atomic_count,source_fur_count,name_detail_semantic_similarity
GOLD-001,,1.0,24,108,True,True,True,True,True,4,4,1,0.903449
GOLD-002,,1.0,14,71,True,True,True,True,True,2,2,2,0.897494
GOLD-003,,1.0,19,62,True,True,True,True,True,2,2,2,0.907241
GOLD-004,,1.0,17,76,True,True,True,True,True,3,3,2,0.937762
GOLD-005,,1.0,13,91,True,True,True,True,True,2,2,2,0.887449
GOLD-006,,1.0,10,73,True,True,True,True,True,4,4,1,0.913415
GOLD-007,,1.0,27,73,True,True,True,True,True,2,3,1,0.93697
GOLD-008,,1.0,17,34,True,True,True,True,True,1,1,1,0.944759
GOLD-009,,1.0,14,38,True,True,True,True,True,1,1,1,0.825808
GOLD-010,,1.0,28,133,True,True,True,True,True,8,28,5,0.946897
GOLD-011,,1.0,20,84,True,True,True,True,True,2,4,1,0.899706
GOLD-012,,1.0,18,51,True,True,True,True,True,1,1,1,0.87234
GOLD-013,,1.0,17,46,True,True,True,True,True,1,1,1,0.920145
GOLD-014,,1.0,13,51,True,True,True,True,True,1,1,1,0.873693
GOLD-015,,1.0,17,63,True,True,True,True,True,1,1,1,0.925061
GOLD-016,,1.0,19,83,True,True,True,True,True,1,2,1,0.922694
GOLD-017,,1.0,26,114,True,True,True,True,True,2,5,1,0.888618
GOLD-018,,1.0,14,34,True,True,True,True,True,1,1,1,0.912433
GOLD-019,,1.0,17,84,True,True,True,True,True,3,3,2,0.931291
GOLD-020,,1.0,21,67,True,True,True,True,True,3,3,1,0.901762
GOLD-021,,1.0,24,93,True,True,True,True,True,2,4,1,0.946863
GOLD-022,,1.0,14,46,True,True,True,True,True,1,1,1,0.927295
GOLD-023,,1.0,8,25,True,True,True,True,True,1,1,1,0.954085
GOLD-024,,1.0,11,37,True,True,True,True,True,1,1,1,0.925801
GOLD-025,,1.0,9,39,True,True,True,True,True,1,1,1,0.920344
