predicted_gold_id,predicted_name,reference_name,semantic_similarity,match_status
GOLD-008,상용 LLM 라이센스 만료 알림,상용 LLM 라이선스 만료알림,0.975332,MATCHED
GOLD-015,다국어 응대 및 언어 감지 기능,20개 이상 언어 자동감지·동일언어 응답,0.971507,MATCHED
GOLD-017,홈페이지·게시판 최신정보 자동 학습 및 질의응답,홈페이지 정보 자동수집·일일업데이트·자동학습,0.967859,MATCHED
GOLD-020,ARS 전화 응답·음성 대화·대량 통화,한국어 전화 ARS 챗봇 5초 이내 음성응답,0.962938,MATCHED
GOLD-012,RAG 검색·답변 생성·근거 링크,문서추출·벡터검색·근거기반 RAG 답변,0.960701,MATCHED
GOLD-013,문서 기반 지식베이스 생성·관리,사용자 문서 업로드·검증·지식베이스 관리,0.960429,MATCHED
GOLD-004,프롬프트 템플릿 관리·편집·활용,프롬프트 템플릿·챗봇 프롬프트 관리·편집,0.956694,MATCHED
GOLD-016,질의 의도 분석 및 맥락 기반 응답,질의의도·맥락·추가질문·다단계 대화관리,0.955359,MATCHED
GOLD-010,사용자 그룹별 챗봇 설계·검색·매칭·환경·통계 관리,사용자그룹별 맞춤 챗봇 설계·매칭·스토어 접근,0.952913,MATCHED
GOLD-021,학내 통합인증·이메일 ID·외부 사용자 차단,학내 통합인증 로그인,0.945665,MATCHED
GOLD-024,신규 회원 승인·거부,회원 가입승인·거부·삭제·그룹·상태조회,0.945088,MATCHED
GOLD-006,대화 히스토리 관리,대화 스레드 저장·검색·복원·삭제·다운로드,0.941055,MATCHED
GOLD-014,퍼블리시 전 개인 테스트,챗봇 퍼블리시 요청·승인·배포·삭제·테스트 관리,0.940997,MATCHED
GOLD-018,관리자 수동 정보 업데이트,관리자 홈페이지 지식정보 수동업데이트,0.939162,MATCHED
GOLD-001,다중 LLM 통합·확장성·API 최적화 설계,LLM API 호출최적화·분산처리,0.938402,MATCHED
GOLD-019,대화·통계·사용량 엑셀 다운로드,대화내용 리뷰·엑셀 일괄다운로드,0.934479,MATCHED
GOLD-003,AI 모델 선택·응답 파라미터 조정,복수 LLM API 통합관리·모델선택·응답 파라미터 조정,0.926252,MATCHED
GOLD-022,비밀번호 암호화·HTTPS,학내 이메일 인증·비밀번호 암호화·HTTPS·재설정,0.922166,MATCHED
GOLD-002,온프레미스 독립 운영 챗봇,독립운영 모듈형·확장형 온프레미스 플랫폼,0.920172,MATCHED
GOLD-011,다형식 문서 업로드·통합·데이터 추출,데이터 업데이트 모니터링·삭제·재학습 차단,0.903702,MATCHED
GOLD-009,온프레미스 민감데이터 보안,대화데이터 암호화 저장,0.902366,MATCHED
GOLD-025,부적절 계정 삭제,문의 부서·담당자 안내·연락처 관리,0.901916,MATCHED
GOLD-023,비밀번호 재설정,관리자 페이지 인증·접근제어,0.890117,MATCHED
GOLD-005,대화형 UX·스레드 대화,온프레미스 자원·응답성능·고가용성 최적화,0.88787,MATCHED
GOLD-007,상용 LLM API 통합 관리 및 사용량 모니터링,챗봇 이용·사용자·대화·FAQ 통계 대시보드·파일제공,0.873642,MATCHED
,,퍼블리시 챗봇 검색·상세·필터탐색,,MISSED_REFERENCE
,,최신 학사·일정·공지 답변·출처링크,,MISSED_REFERENCE
,,대량 전화처리·담당자 착신전환,,MISSED_REFERENCE
