task2_id,assigned_gold_ids,action_type,requirement_name,semantic_similarity_to_assigned_gold,passes_retention_threshold
T2-000001,GOLD-001,관리,모듈화 아키텍처 설계,0.909489,True
T2-000002,GOLD-002,관리,온프레미스 자원 최적화,0.911635,True
T2-000003,GOLD-001,관리,플랫폼 확장성 설계,0.93159,True
T2-000004,GOLD-001,연계,온프레미스·상용 LLM 통합,0.913972,True
T2-000005,GOLD-001,관리,다양한 LLM 동시 통합,0.946295,True
T2-000006,GOLD-003,관리,AI 모델 파라미터 조정,0.980974,True
T2-000007,GOLD-004,관리,프롬프트 템플릿 관리,0.964969,True
T2-000008,GOLD-004,입력,프롬프트 템플릿 활용,0.978281,True
T2-000009,GOLD-005,제공,대화형 UX·스레드 대화,0.991612,True
T2-000010,GOLD-006,관리,대화 히스토리 삭제·다운로드,0.97254,True
T2-000011,GOLD-006,보안,대화 데이터 암호화,0.898666,True
T2-000012,GOLD-006,관리,대화 히스토리 복원,0.947461,True
T2-000013,GOLD-006,관리,대화 히스토리 삭제,0.962783,True
T2-000014,GOLD-007,관리,상용 LLM API 통합 관리 및 사용량 모니터링,0.999998,True
T2-000015,GOLD-008,조회,상용 LLM 라이센스 만료 알림,0.999999,True
T2-000016,GOLD-007,처리,API 호출 최적화 및 분산 처리,0.924506,True
T2-000017,GOLD-002,제공,온프레미스 독립 운영 챗봇,0.989168,True
T2-000018,GOLD-009,보안,온프레미스 민감데이터 보안,0.999999,True
T2-000019,GOLD-005,처리,온프레미스 챗봇 성능·자원·고가용성,0.916309,True
T2-000020,GOLD-010,제공,관리자 챗봇 사용데이터 대시보드,0.91264,True
T2-000021,GOLD-011,입력,다형식 문서 업로드·유효성 검사,0.963392,True
T2-000022,GOLD-011,관리,업로드 문서 통합·조회·삭제·데이터 추출,0.966337,True
T2-000023,GOLD-012,처리,RAG 검색·답변 생성·근거 링크,0.999994,True
T2-000024,GOLD-004,입력,프롬프트 손쉬운 수정,0.950346,True
T2-000025,GOLD-013,산출,문서 기반 지식베이스 생성·관리,0.999994,True
T2-000026,GOLD-003,관리,LLM 모델 선택·응답 파라미터 조정,0.95864,True
T2-000027,GOLD-010,관리,챗봇 저장·관리자 승인·퍼블리시,0.930587,True
T2-000028,GOLD-014,조회,퍼블리시 전 개인 테스트,0.999995,True
T2-000029,GOLD-010,관리,사용자 그룹별 챗봇 설계·매칭,0.983875,True
T2-000030,GOLD-010,조회,사용자 그룹별 챗봇 검색·탐색·필터링·활용,0.963769,True
T2-000031,GOLD-010,연계,선택 챗봇 환경 적용,0.934853,True
T2-000032,GOLD-015,제공,다국어 응대 및 언어 감지 기능,1.0,True
T2-000033,GOLD-016,처리,질의 의도 분석 및 맥락 기반 응답,0.999999,True
T2-000034,GOLD-017,처리,홈페이지·게시판 최신정보 자동 학습,0.976331,True
T2-000035,GOLD-018,입력,관리자 수동 정보 업데이트,0.999999,True
T2-000036,GOLD-017,제공,최신 학사정보·일정·공지사항 질의응답,0.968969,True
T2-000037,GOLD-010,분석,챗봇 이용현황 통계·대화 리뷰,0.938011,True
T2-000038,GOLD-019,산출,대화내용 엑셀 다운로드,0.967339,True
T2-000039,GOLD-019,산출,통계정보 엑셀 다운로드,0.96724,True
T2-000040,GOLD-020,제공,ARS 전화 응답 챗봇,0.97584,True
T2-000041,GOLD-020,제공,ARS 한국어 음성 대화,0.946825,True
T2-000042,GOLD-020,제공,ARS 대량 통화 처리,0.947546,True
T2-000043,GOLD-021,연계,학내 통합인증 로그인,0.947939,True
T2-000044,GOLD-021,권한,학내 이메일 ID·외부 사용자 차단,0.985247,True
T2-000045,GOLD-022,보안,비밀번호 암호화·HTTPS,0.999999,True
T2-000046,GOLD-023,입력,비밀번호 재설정,0.999999,True
T2-000047,GOLD-024,관리,신규 회원 승인·거부,0.999999,True
T2-000048,GOLD-025,관리,부적절 계정 삭제,0.999995,True
T2-000049,GOLD-010,조회,사용자·챗봇 상태·권한·업데이트 조회,0.932958,True
T2-000050,GOLD-010,관리,챗봇 퍼블리시·비활성화 삭제,0.908602,True
T2-000051,GOLD-019,조회,사용량·통계 조회·다운로드,0.934969,True
