gold_id,action_type,requirement_name,requirement_detail,source_task2_ids,source_atomic_ids,sources,processing_type,merge_basis,quality_status
GOLD-001,관리,CXL 2.0/3.0 메모리·디바이스 호환성 설계,"CXL 2.0 또는 3.0 메모리와 Type 1, 2, 3 디바이스의 호환성을 검토하고 지원하여야 한다.",T2-000001,SFR-001::SFR-001-001; SFR-001::SFR-001-002,SFR-001,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-002,관리,CXL 메모리 프레임워크 설계·동적 할당·CRD·공유 활용,KI Cloud 환경에서 CXL 메모리 프레임워크를 설계하고 Openstack·Kubernetes·다중 노드와 VM·Container에서 동적으로 할당·해제하며 CRD를 지원하고 Compute·Storage 공유 활용을 위한 OpenMP·MPI 공유 메모리 모델을 개발하여야 한다.,T2-000002; T2-000003; T2-000006; T2-000020; T2-000023; T2-000027; T2-000028; T2-000033,SFR-001-003; SFR-001-004; SFR-001-005; SFR-001-009; SFR-003-003; SFR-003-006; SFR-003-010; SFR-004-001; SFR-004-007; SFR-004-008; SFR-001::SFR-001-003; SFR-001::SFR-001-004; SFR-001::SFR-001-005; SFR-001::SFR-001-009; SFR-003::SFR-003-003; SFR-003::SFR-003-006; SFR-003::SFR-003-010; SFR-004::SFR-004-001; SFR-004::SFR-004-007; SFR-004::SFR-004-008,SFR-001; SFR-003; SFR-004,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과를 기준으로 통합하여 하나의 요구사항으로 재정의함.,REVIEW_REQUIRED
GOLD-003,관리,CXL 메모리 QoS 정책 설계,메모리 대역폭과 지연시간 기반 QoS 정책을 설계하여야 한다.,T2-000004,SFR-001::SFR-001-006,SFR-001,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-004,분석,CXL 메모리 대역폭·지연 분석·계층적 관리,CXL 메모리의 대역폭과 지연을 분석하고 기존 DRAM과 계층적 메모리 관리를 지원하여야 한다.,T2-000005; T2-000019,SFR-001::SFR-001-007; SFR-001::SFR-001-008; SFR-003::SFR-003-002,SFR-001; SFR-003,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-005,조회,CXL 메모리 대역폭·지연·링크별 사용량 모니터링,노드와 VM별 CXL 메모리 사용량을 모니터링하고 CXL 링크별 실시간 대역폭 사용량을 측정하여야 한다.,T2-000007; T2-000011; T2-000015,SFR-001::SFR-001-010; SFR-002::SFR-002-004; SFR-002::SFR-002-008,SFR-001; SFR-002,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-006,관리,CXL 메모리 풀링 및 동적 확장·축소 관리,여러 CXL 메모리 장치를 단일 논리적 메모리 풀로 통합 관리하고 동적으로 확장 및 축소할 수 있어야 한다.,T2-000008,SFR-002::SFR-002-001,SFR-002,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-007,관리,워크로드 특성 기반 자동 리소스 할당·메모리 우선순위·인스턴스 추천,"워크로드 특성과 I/O 특성을 기반으로 자동 리소스 할당과 구성, 메모리 할당 우선순위 지정 및 최적 VM·BM 인스턴스 추천을 제공하여야 한다.",T2-000009; T2-000010; T2-000036; T2-000084,SFR-002::SFR-002-002; SFR-002::SFR-002-003; SFR-005::SFR-005-001; SFR-012::SFR-012-005,SFR-002; SFR-005; SFR-012,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,REVIEW_REQUIRED
GOLD-008,조회,세분화된 레이턴시 측정,읽기와 쓰기 작업별 및 메모리 영역별 레이턴시를 세분화하여 측정할 수 있어야 한다.,T2-000012,SFR-002::SFR-002-005,SFR-002,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-009,조회,캐시·메모리 접근 패턴 모니터링·시각화,캐시 적중률과 미스 패턴을 모니터링하고 메모리 접근 패턴을 히트맵으로 시각화하여 제공하여야 한다.,T2-000013; T2-000014; T2-000016,SFR-002::SFR-002-006; SFR-002::SFR-002-007; SFR-002::SFR-002-009,SFR-002,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-010,검증,성능·자원 이상행위 탐지 및 Alert,"성능 이상 징후와 VM, BM 및 컨테이너 자원의 이상행위를 자동으로 감지하고 사용자에게 Alert를 제공하여야 한다.",T2-000017; T2-000068,SFR-002::SFR-002-010; SFR-009::SFR-009-004,SFR-002; SFR-009,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 구현 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-011,분석,HPC 애플리케이션 메모리 사용패턴 분석,기존 HPC 애플리케이션에서의 메모리 사용 패턴을 분석하여야 한다.,T2-000018,SFR-003::SFR-003-001,SFR-003,유지,"수행대상, 사용자, 행위, 결과 또는 검수증거가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-012,설계,CXL 메모리 DRAM 데이터 이동 방식,기존 DRAM과 CXL 메모리 간 데이터 이동 방식을 설계하여야 한다.,T2-000021,SFR-003::SFR-003-004,SFR-003,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-013,개발,CXL 메모리 할당·해제·DMA 메커니즘,"기존 DRAM과 CXL 메모리 구분 동작, 할당·해제 메커니즘 및 DMA 데이터 이동을 개발하여야 한다.",T2-000022,SFR-003::SFR-003-005,SFR-003,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-014,개발,AI·ML CXL 모델 캐싱·기계학습,AI와 ML 애플리케이션에서 CXL 메모리 활용을 위한 모델 캐싱 및 기계 학습을 개발하여야 한다.,T2-000024,SFR-003::SFR-003-007,SFR-003,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-015,개발,데이터베이스·In-memory CXL 메모리 확장,데이터베이스와 In-memory Computing 소프트웨어에서 CXL 메모리 활용을 위한 메모리 확장 기능을 개발하여야 한다.,T2-000025,SFR-003::SFR-003-008,SFR-003,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-016,제공,SLURM CXL-aware Job Scheduling 및 NUMA-Aware·CXL 메모리 기반 클러스터 배포,SLURM을 기반으로 CXL 메모리 특성을 고려한 Job Scheduling과 NUMA-Aware 및 CXL 메모리 기반 최적의 클러스터 배포를 제공하여야 한다.,T2-000026; T2-000037,SFR-003::SFR-003-009; SFR-005::SFR-005-002,SFR-003; SFR-005,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,REVIEW_REQUIRED
GOLD-017,관리,계층적 메모리 관리,기존 DRAM과 CXL 메모리의 계층적 관리와 조합을 지원하여야 한다.,T2-000029,SFR-004::SFR-004-002; SFR-004::SFR-004-011,SFR-004,유지,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
