gold_id,action_type,requirement_name,requirement_detail,source_task2_ids,source_atomic_ids,sources,processing_type,merge_basis,quality_status
GOLD-001,준수,최소 요구조건·변경·증감 협의,"최소한의 요구조건이며, 세부 요구사항에 제시되지 않은 사항이라도 향후 개발단계에서 상호 협의를 통해 변경 혹은 증감이 가능하여야 한다.",T2-000001,SFR-001::SFR-001-001,SFR-001,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-002,준수,타 대학 분석·최적화 홈페이지 구축 및 저작권 관리,"타 대학의 분석결과 등을 활용하여 우리 대학에 최적화된 홈페이지 구축방안을 마련하고 추진하여야 하며, 홈페이지 내 이미지(일러스트, 사진 등)는 직접 제작 및 수집하여 저작권에 문제가 발생하지 않도록 하여야 한다.",T2-000002; T2-000006,SFR-001::SFR-001-002; SFR-001::SFR-001-006,SFR-001,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,PASS
GOLD-003,준수,전자정부 표준프레임워크·반응형 웹,전자정부 표준프레임워크 기반의 반응형 웹 기술을 적용하여야 한다.,T2-000003,SFR-001::SFR-001-003,SFR-001,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 구현 결과를 기준으로 통합함.,PASS
GOLD-004,준수,CMS·웹 접근성·호환성·표준문법,"구축되는 모든 홈페이지는 전자정부 표준프레임워크 기반 콘텐츠관리시스템(CMS) 상에서 생성·관리·운영되어야 하며, 웹 접근성, 웹 호환성 및 표준문법을 준수하여야 한다.",T2-000004,SFR-001::SFR-001-004,SFR-001,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 구현 결과를 기준으로 통합함.,PASS
GOLD-005,관리,사용자 중심 디자인·메뉴·콘텐츠·게시판 관리,"사용자 중심으로 디자인과 기능을 설계하고 직관적인 메뉴구성과 주관부서 추가메뉴를 제공하며, 수요기관 콘텐츠를 활용하여 간결한 메뉴·UI를 관리하고 접근성·가독성·편리성·확장성을 확보하여야 하며, 메뉴, 콘텐츠 및 다양한 형식의 게시판을 생성·수정·삭제·제어할 수 있어야 한다.",T2-000005; T2-000009; T2-000010; T2-000011; T2-000015; T2-000020,SFR-001::SFR-001-005; SFR-002::SFR-002-001; SFR-002::SFR-002-002; SFR-002::SFR-002-003; SFR-003::SFR-003-003; SFR-005::SFR-005-004,SFR-001; SFR-002; SFR-003; SFR-005,통합,문서 전체에서 동일하거나 부분 중복·보완 관계인 기능을 구현 편의와 검수 일관성을 위해 통합함.,PASS
GOLD-006,분석,웹 로그 분석·이용률·방문경로·에러,"웹 로그 분석을 통하여 이용률 추이, 방문경로, 에러 내용 등을 분석하여야 한다.",T2-000007,SFR-001::SFR-001-007,SFR-001,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-007,보안,개인정보 동의·SSL 암호화,"개인정보가 수집·이용을 필요로 하는 기능의 경우 개인정보 동의 절차를 반영하여야 하며, 개인정보, 비밀번호 등 송수신할 때는 SSL 인증서를 통해 암호화하여 전송하여야 한다.",T2-000008; T2-000012,SFR-001::SFR-001-008; SFR-002::SFR-002-004,SFR-001; SFR-002,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 동일 구현 결과와 검수 기준에 따라 통합함.,PASS
GOLD-008,제공,다중 디바이스·브라우저 반응형 웹,"다양한 디바이스와 브라우저에서 반응형 웹을 제공하여야 하며, 화면·메뉴·기능의 적절한 조정과 사용자 접근성을 지원하여야 한다.",T2-000013,SFR-003::SFR-003-001,SFR-003,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 구현 결과를 기준으로 통합함.,PASS
GOLD-009,제공,모바일 OS·브라우저 호환성,"모바일 OS와 브라우저의 호환성을 제공하여야 하며, 모바일 기기에서의 정상적인 서비스 이용을 지원하여야 한다.",T2-000014,SFR-003::SFR-003-002,SFR-003,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 구현 결과를 기준으로 통합함.,PASS
GOLD-010,산출,RISE사업단·센터 랜딩페이지,RISE사업단 및 각 센터의 홈페이지를 효과적으로 접근할 수 있도록 랜딩페이지를 제공하여야 한다.,T2-000016,SFR-004::SFR-004-001,SFR-004,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
