predicted_gold_id,predicted_name,reference_name,semantic_similarity,match_status
GOLD-064,VM NFS·Ceph·GlusterFS 자동 연계,"VM 환경에서 NFS, Ceph, GlusterFS 등 다양한 스토리지 시스템과의 연계 구성을 자동화할 수 있는",0.991372,MATCHED
GOLD-025,GPU·고성능 연산 자원 스케줄링,GPU 및 고성능 연산 자원의 공유 및 최적 활용을 위한 스케줄링,0.987131,MATCHED
GOLD-039,HPC 작업 실행시간·자원 소모율 분석,HPC 작업별 실행 시간 예측 및 자원 소모율을 시각적으로 분석하여 최적의 실행 환경 추천,0.981497,MATCHED
GOLD-021,CXL 메모리 리소스 풀 등록·스케줄링,Kubernetes에서 CXL 메모리를 리소스 풀 등록 및 스케줄링 가능하도록 지원,0.980306,MATCHED
GOLD-018,VM CXL 메모리 인식·활용 설정,VM에서 CXL 메모리 인식 및 활용을 위한 설정 지원,0.979646,MATCHED
GOLD-053,HPC 장애 실시간 ChatOps 자동화,"HPC 장애 발생 시 실시간 채팅 인터페이스를 통해 자동화된 분석, 진단, 조치 명령을 수행할 수 있는",0.979454,MATCHED
GOLD-049,VM·BM·컨테이너 통합 보안정책 관리,통합 자원 보안정책 수립·자동 적용,0.97864,MATCHED
GOLD-065,VM 외 스토리지 워크로드 기반 스케줄링·변경·모니터링,VM-Lustre 외 스토리지에 대해 워크로드 기반의 접근 패턴을 고려한 최적화된 마운트/언마운트 스케줄링,0.978466,MATCHED
GOLD-031,스냅샷·복구 기반 데이터 무결성 유지보수,데이터 무결성을 바탕으로 유지보수 진행을 위한 스냅샷 및 복구,0.97835,MATCHED
GOLD-005,CXL 메모리 대역폭·지연·링크별 사용량 모니터링,CXL 메모리·링크·VM 사용량 모니터링·성능 분석,0.977588,MATCHED
GOLD-009,캐시·메모리 접근 패턴 모니터링·시각화,CXL 캐시·메모리 접근 패턴 분석·시각화,0.975797,MATCHED
GOLD-013,CXL 메모리 할당·해제·DMA 메커니즘,HPC DRAM·CXL 메모리 할당·DMA 데이터 이동,0.975089,MATCHED
GOLD-024,VM·BM 서버 고정·동적 리소스 조정·인스턴스 축소,VM 및 BM 서버의 사용량 모니터링 및 고정/동적 리소스 조정이,0.974958,MATCHED
GOLD-066,이종 HPC 워크로드 유형별 분류·자원 우선순위·처리방식 정의,처리방식을 정의할 수 있는,0.974464,MATCHED
GOLD-028,스토리지 프록시 상태 모니터링·이상 탐지,스토리지 프록시의 상태 모니터링 및 이상 탐지에 대한 자동화를 수행 조회,0.973394,MATCHED
GOLD-006,CXL 메모리 풀링 및 동적 확장·축소 관리,CXL 공유 메모리 풀 생성·통합·동적 확장 관리,0.973252,MATCHED
GOLD-068,최적화 워크로드 스케줄링 정책 생성·자동 배포·변경 이력 추적,"생성된 워크로드 스케줄링 정책에 대한 자동 배포, 변경 이력 추적하며, 동적 자원 변화에 따라 스케줄링 정책을 재계산 및 적용",0.971226,MATCHED
GOLD-089,GPU·분산 HPC·희소 행렬 시뮬레이션,GPU·분산 HPC 양자 시뮬레이션 최적화,0.970888,MATCHED
GOLD-020,CXL 메모리 자동 조정·Auto-scaling,CXL 메모리 사용량을 기반으로 Auto-scaling 정책 수립 및 적용,0.968648,MATCHED
GOLD-023,클러스터 자원 부하 분석·자동 확장,"클러스터 내 자원(메모리, CPU, 네트워크) 부하 분석 및 자동 확장(Auto Scaling)을 지원",0.968607,MATCHED
GOLD-029,유지보수 일정 기반 스토리지 프록시 재구성,유지보수 일정에 따른 스토리지 프록시 재구성 및 운영 정책에 대한 자동 적용,0.968337,MATCHED
GOLD-057,스토리지 성능·최적화 분석 리포트,스토리지 I/O 성능 비교·최적화 리포트,0.967917,MATCHED
GOLD-004,CXL 메모리 대역폭·지연 분석·계층적 관리,DRAM·CXL 계층형 메모리 관리·성능 최적화,0.967715,MATCHED
GOLD-059,스토리지 액세스 인증·권한·로그 관리,스토리지 데이터 접근 인증·권한 제어,0.967135,MATCHED
GOLD-034,HPC 자동 튜닝·성능 최적화·유지보수 영향 분석,HPC 클러스터의 성능 최적화를 위한 자동 튜닝 및 유지보수,0.967033,MATCHED
GOLD-036,HPC 주요 리소스 대시보드,"CPU, 메모리, 네트워크, 스토리지 등 주요 리소스 사용률을 대시보드에서 한눈에 확인 가능",0.966314,MATCHED
GOLD-099,HPC 벤치마크 분석 리포트 생성·공유,벤치마크 분석 리포트 생성·PDF·HTML 내보내기,0.966166,MATCHED
GOLD-003,CXL 메모리 QoS 정책 설계,"메모리 대역폭, 지연시간 등을 고려한 QoS 정책 설계",0.966024,MATCHED
GOLD-058,클라우드 객체 스토리지·HPC 클라우드 연동 어댑터,클라우드 환경에서 다양한 객체 스토리지를 연동할 수 있는 스토리지 클라우드 어댑터,0.965758,MATCHED
GOLD-016,SLURM CXL-aware Job Scheduling 및 NUMA-Aware·CXL 메모리 기반 클러스터 배포,NUMA-Aware 및 CXL 메모리 기반 최적 클러스터 배포,0.965039,MATCHED
GOLD-054,반복장애 ChatOps 워크플로우 관리·실행결과 공유,"반복적으로 발생하는 장애 유형에 대해 사전 정의된 ChatOps 워크플로우를 구성하고, 지정된 명령어로 자동 실행할 수 있는",0.964052,MATCHED
GOLD-075,양자 회로 최적화 컴파일,양자 회로 컴파일·실행시간 최적화,0.963671,MATCHED
GOLD-095,HPC 벤치마크 로그 검색·필터링·정렬,"벤치마크 로그에 대한 검색, 필터링, 정렬 기능을 지원하며, 사용자가 원하는 기준으로 로그 데이터를 조회할 수 있도록 한다 보안",0.963652,MATCHED
GOLD-048,장애 복구 보고서 및 개선점 분석,장애 자동복구 개선점 분석,0.963568,MATCHED
GOLD-061,HPC I/O 프로파일링 및 분석,네트워크 I/O에 대한 프로파일링 정보를 수집,0.963301,MATCHED
GOLD-098,HPC 벤치마크 자원 활용·병목 분석,HPC 워크로드 로그 기반 자원효율·병목·배치 최적화 분석,0.962579,MATCHED
GOLD-017,계층적 메모리 관리,기존 DRAM과 CXL 메모리를 조합하여 메모리 계층을 구성하는 기능 개발,0.961951,MATCHED
GOLD-019,VM별 CXL 메모리 사용량 모니터링,CXL 메모리기반 모니터링 및 성능 구현,0.961945,MATCHED
GOLD-033,HA 노드 유지보수 이력·Lustre 마운트 성능 영향도 분석,"Lustre 파일 시스템의 마운트 구성 변경 전후에 성능 영향도를 분석하고, 변경 효과를 시각적으로 비교할 수 있는",0.961083,MATCHED
GOLD-073,고전 알고리즘 자동 매핑,고전 알고리즘 양자변환·게이트 지원,0.961025,MATCHED
GOLD-044,HPC 자동 조치 버튼,클러스터 리소스 임계치 초과 시 운영자가 즉시 대응할 수 있도록 자동 조치 버튼 제공,0.960976,MATCHED
GOLD-026,VM·BM 클러스터 자원 사용량 모니터링·장기 패턴 분석,"VM 및 BM 클러스터의 CPU, 메모리, 스토리지 사용량에 대한 모니터링을 제공",0.959179,MATCHED
GOLD-079,큐비트 사용량 최소화 인코딩,양자 데이터 인코딩·추천·벤치마킹,0.958881,MATCHED
GOLD-012,CXL 메모리 DRAM 데이터 이동 방식,HPC CXL 공유자원 활용·데이터 이동 모델 설계,0.958602,MATCHED
GOLD-038,HPC 사용자별 사용량·작업 현황,사용자별 HPC 사용량 및 실행 중인 작업(Job) 현황을 실시간으로 모니터링하는 UI 제공,0.957839,MATCHED
GOLD-002,CXL 메모리 프레임워크 설계·동적 할당·CRD·공유 활용,KI Cloud CXL 메모리 프레임워크 설계,0.95738,MATCHED
GOLD-085,양자 결과 대시보드 시각화,양자 결과 시각화·고전데이터 비교 분석,0.957315,MATCHED
GOLD-067,워크로드 로그·이력·특성·자원 상태 기반 최적 실행 계획 계산,"워크로드 특성과 클러스터 자원 상태를 반영하여 최적화된 실행 계획을 계산하고, 이를 기반으로 스케줄링 정책을 생성할 수 있는",0.956432,MATCHED
GOLD-094,HPC 벤치마크 로그 시계열 저장,"수집된 벤치마크 로그 및 메트릭 데이터를 시계열 기반으로 저장하고, 저장소 내에서 벤치마크 실행 단위로 관리할 수 있는",0.955818,MATCHED
GOLD-080,양자 측정 통계 분석,양자 측정결과 통계·확률분포 분석,0.95401,MATCHED
GOLD-052,VM·BM·I/O 프로파일링 기반 접근권한·정책 설정 및 감사,VM·BM 역할 기반 접근권한 관리,0.953546,MATCHED
GOLD-088,몬테카를로 샘플링 시뮬레이션,텐서네트워크·몬테카를로 양자 시뮬레이션,0.953157,MATCHED
GOLD-001,CXL 2.0/3.0 메모리·디바이스 호환성 설계,"CXL Type 1,2,3 디바이스와의 호환성 검증",0.953154,MATCHED
GOLD-063,VM Lustre 자동·동적·스케줄·중앙·워크로드 마운트 관리,VM Lustre 마운트 자동화·구성 변경·이력·롤백 관리,0.953123,MATCHED
GOLD-062,컨테이너 기반 I/O 추적·통합 분석,컨테이너 단위 I/O 추적정보 분리 수집,0.953008,MATCHED
GOLD-096,HPC 벤치마크 관제 포털,벤치마크 관제 포털 접근 권한,0.952582,MATCHED
GOLD-056,HPC 장애대응 자동 리포트,장애 대응·자동복구 결과 리포트 생성,0.950104,MATCHED
GOLD-041,HPC 성능 최적화 제안,HPC 사용 로그 및 과거 작업 내역을 기반으로 성능 최적화 제안 기능 구현,0.949867,MATCHED
GOLD-093,HPC 벤치마크 상태 로그 자동 수집,벤치마크 실행 로그·성능메트릭 자동 수집,0.949833,MATCHED
GOLD-015,데이터베이스·In-memory CXL 메모리 확장,HPC 애플리케이션 CXL 메모리 활용,0.949801,MATCHED
GOLD-060,HPC 워크로드·스토리지 적합도 분석·시뮬레이션,워크로드·스토리지 적합도 분석·최적화 분류,0.949097,MATCHED
GOLD-007,워크로드 특성 기반 자동 리소스 할당·메모리 우선순위·인스턴스 추천,워크로드 특성에 따라 최적화된 VM 및 BM 인스턴스 유형 자동 추천 기능 개발,0.947767,MATCHED
GOLD-055,HPC 장애대응 정보 역할별 보고,"HPC 운영조직 내 역할 기반으로 보고 수준을 다르게 구성하여, 관리자, 운영자, 모니터링 요원별로 적정 수준의 정보를 전달할 수 있는",0.945532,MATCHED
GOLD-045,HPC 자동 스케일링·재시작 정책 설정,사전 정의된 정책에 따라 자동 스케일링 및 재시작 옵션을 UI에서 쉽게 설정 가능 설계,0.944808,MATCHED
GOLD-035,HPC 클러스터 토폴로지 시각화,"클러스터 토폴로지를 직관적으로 시각화하여 노드 간 연결 상태, 성능, 장애 정보를 실시간 제공",0.944347,MATCHED
GOLD-022,CXL 메모리 자동 확장·장애 복구,노드 간 CXL 메모리 사용량을 모니터링하고 자동 확장 지원,0.944324,MATCHED
GOLD-071,서비스 자원 조합·성능·변경 이력 관리,BM 등 자원 조합을 사전 구성한 카탈로그 형태로 제공하는,0.943576,MATCHED
GOLD-083,양자 결과 고전 데이터 변환,양자 결과 오류 필터링·고전데이터 변환·불확실성 계산,0.943079,MATCHED
GOLD-051,자원 유형별 보안상태 실시간 모니터링,자원 유형별 보안 상태를 실시간으로 모니터링하고 이상 행위 발생 시 탐지 및 알림,0.943055,MATCHED
GOLD-011,HPC 애플리케이션 메모리 사용패턴 분석,HPC 워크로드 CXL 적용 가능성·병목 분석,0.940927,MATCHED
GOLD-072,서비스 유형별 자원 자동 프로비저닝·컨테이너 배포,컨테이너 서비스 최적 리소스 추천,0.940415,MATCHED
GOLD-097,HPC 벤치마크 이력·구성정보 조회,벤치마크 로그·작업이력·구성 비교 조회,0.935638,MATCHED
GOLD-014,AI·ML CXL 모델 캐싱·기계학습,HPC 및 AI/ML 워크로드에서 CXL 메모리 최적화,0.935578,MATCHED
GOLD-027,오버커밋·과부하 자동 경고 및 로그 중앙 분석,"클러스터 내 VM, 컨테이너, Baremetal 서버의 로그를 중앙에서 취합 및 분석을 제공",0.934357,MATCHED
GOLD-046,하이브리드 HPC 자동 배치·이동,컨테이너 기반 HPC 작업을 VM 또는 Baremetal 노드로 쉽게 이동(Migrate)할 수 있도록 지원,0.933934,MATCHED
GOLD-037,HPC 장애 노드·네트워크 경로 강조,"장애 발생 시 해당 노드 및 네트워크 경로를 강조 표시하고, 유지보수 추천 조치 제공",0.933732,MATCHED
GOLD-042,HPC 성능 저하·장애 알림,"성능 저하, 장애 발생 시 운영자에게 실시간 알림 제공 (이메일, 웹 푸시, 슬랙 연동 등) 연계",0.932777,MATCHED
GOLD-010,성능·자원 이상행위 탐지 및 Alert,자원 성능 이상·과부하 자동 감지 알림,0.930651,MATCHED
GOLD-030,운영 정책 자동 적용,주요 시스템 변경 사항을 사전 검토하고 문제 발생 시 롤백할 수 있는 정책 및 기능 구현,0.930649,MATCHED
GOLD-032,장애 자동 페일오버,클라우드·CXL 장애 자동복구·페일오버,0.928461,MATCHED
GOLD-090,HPC 벤치마크 자원·환경 설정,벤치마크 실행 요청,0.921749,MATCHED
GOLD-070,서비스 유형별 자원 요구 특성 정의,향후 자원 추천 정확도 향상을 위한 기준 데이터로 활용할 수 있는,0.920566,MATCHED
GOLD-047,장애 복구 자동화 및 모니터링,"하드웨어, 스토리지, 네트워크 상태를 모니터링하고 이상 징후 발생시 경고 및 알림을 제공",0.917671,MATCHED
GOLD-086,고전·양자 결과 비교 분석,유지보수 전후 성능 비교 및 영향 분석을 위한 성능 분석 레포팅을 제공,0.917039,MATCHED
GOLD-069,동적 자원 변화에 따른 스케줄링 정책 재계산·재적용,비용 및 성능을 고려한 탄력적인 자원 할당 정책 수립 및 적용,0.913746,MATCHED
GOLD-092,HPC 벤치마크 메트릭 자동 기록,동시 접근 성능 등을 자동 측정,0.911487,MATCHED
GOLD-008,세분화된 레이턴시 측정,CXL 메모리 접근 지연시간 측정·분석,0.9097,MATCHED
GOLD-091,HPC 벤치마크 로그 자동 수집,벤치마크 결과 표·그래프·히트맵 시각화,0.909048,MATCHED
GOLD-050,동적 확장 환경 자원 보안정책 자동 적용,서버 부하에 따라 CXL 메모리 자동 확장(Auto Scaling) 기능 구현,0.902928,MATCHED
GOLD-087,텐서 네트워크 기반 시뮬레이션,시스템 안정성 검증을 위한 테스트 및 모니터링 자동화를 제공,0.902861,MATCHED
