task2_id,assigned_gold_ids,action_type,requirement_name,semantic_similarity_to_assigned_gold,passes_retention_threshold
T2-000001,GOLD-001,관리,CXL 2.0/3.0 메모리·디바이스 호환성 설계,1.0,True
T2-000002,GOLD-002,연계,KI Cloud CXL 메모리 프레임워크 설계,0.956696,True
T2-000003,GOLD-002,관리,Openstack·Kubernetes·다중 노드 CXL 메모리 동적 할당,0.947966,True
T2-000004,GOLD-003,관리,CXL 메모리 QoS 정책 설계,1.0,True
T2-000005,GOLD-004,분석,CXL 메모리 대역폭·지연 분석·계층적 관리,1.0,True
T2-000006,GOLD-002,관리,VM·Container CXL 메모리 동적 할당,0.929374,True
T2-000007,GOLD-005,조회,노드 CXL 메모리 사용량 모니터링,0.968775,True
T2-000008,GOLD-006,관리,CXL 메모리 풀링 및 동적 확장·축소 관리,1.0,True
T2-000009,GOLD-007,관리,어플리케이션별 메모리 할당 우선순위 지정 관리,0.926443,True
T2-000010,GOLD-007,관리,워크로드 특성 기반 메모리 할당 메커니즘,0.945559,True
T2-000011,GOLD-005,조회,CXL 메모리 실시간 대역폭 사용량 모니터링,0.977189,True
T2-000012,GOLD-008,조회,세분화된 레이턴시 측정,1.0,True
T2-000013,GOLD-009,조회,캐시 적중률 및 미스 패턴 모니터링,0.961627,True
T2-000014,GOLD-009,조회,히트맵 기반 메모리 접근 패턴 시각화,0.963034,True
T2-000015,GOLD-005,조회,CXL 링크별 실시간 대역폭 사용량 측정,0.968718,True
T2-000016,GOLD-009,조회,메모리 접근 패턴 분석 및 시각화,0.958783,True
T2-000017,GOLD-010,검증,성능 이상 자동 감지 및 Alert,0.959416,True
T2-000018,GOLD-011,분석,HPC 애플리케이션 메모리 사용패턴 분석,1.0,True
T2-000019,GOLD-004,분석,CXL 메모리 성능 병목·대역폭·지연 분석,0.97008,True
T2-000020,GOLD-002,설계,CXL 메모리 Compute·Storage 공유 활용,0.950626,True
T2-000021,GOLD-012,설계,CXL 메모리 DRAM 데이터 이동 방식,1.0,True
T2-000022,GOLD-013,개발,CXL 메모리 할당·해제·DMA 메커니즘,1.0,True
T2-000023,GOLD-002,개발,OpenMP·MPI CXL 공유 메모리 모델,0.953887,True
T2-000024,GOLD-014,개발,AI·ML CXL 모델 캐싱·기계학습,1.0,True
T2-000025,GOLD-015,개발,데이터베이스·In-memory CXL 메모리 확장,1.0,True
T2-000026,GOLD-016,개발,SLURM CXL-aware Job Scheduling,0.964182,True
T2-000027,GOLD-002,개발,CXL 메모리 할당 CRD,0.948877,True
T2-000028,GOLD-002,관리,CXL 메모리 동적 할당·해제,0.907961,True
T2-000029,GOLD-017,관리,계층적 메모리 관리,1.0,True
T2-000030,GOLD-018,관리,VM CXL 메모리 인식·활용 설정,1.0,True
T2-000031,GOLD-019,조회,VM별 CXL 메모리 사용량 모니터링,1.0,True
T2-000032,GOLD-020,처리,CXL 메모리 자동 조정·Auto-scaling,1.0,True
T2-000033,GOLD-002,관리,CXL 메모리 CRD·컨테이너 동적 할당,0.944496,True
T2-000034,GOLD-021,관리,CXL 메모리 리소스 풀 등록·스케줄링,1.0,True
T2-000035,GOLD-022,관리,CXL 메모리 자동 확장·장애 복구,1.0,True
T2-000036,GOLD-007,제공,워크로드 기반 VM·BM 인스턴스 자동 추천,0.954491,True
T2-000037,GOLD-016,제공,NUMA-Aware·CXL 메모리 기반 클러스터 배포,0.971989,True
T2-000038,GOLD-023,처리,클러스터 자원 부하 분석·자동 확장,1.0,True
T2-000039,GOLD-024,관리,VM·BM 서버 고정·동적 리소스 조정·인스턴스 축소,1.0,True
T2-000040,GOLD-025,관리,GPU·고성능 연산 자원 스케줄링,1.0,True
T2-000041,GOLD-026,분석,VM·BM 클러스터 자원 사용량 모니터링·장기 패턴 분석,1.0,True
T2-000042,GOLD-027,제공,오버커밋·과부하 자동 경고 및 로그 중앙 분석,1.0,True
T2-000043,GOLD-028,관리,스토리지 프록시 상태 모니터링·이상 탐지,1.0,True
T2-000044,GOLD-029,관리,유지보수 일정 기반 스토리지 프록시 재구성,1.0,True
T2-000045,GOLD-030,관리,운영 정책 자동 적용,1.0,True
T2-000046,GOLD-031,관리,스냅샷·복구 기반 데이터 무결성 유지보수,1.0,True
T2-000047,GOLD-032,처리,장애 자동 페일오버,1.0,True
T2-000048,GOLD-033,분석,HA 노드별 유지보수 이력 관리·성능 변화 분석,0.94774,True
T2-000049,GOLD-034,산출,HPC 자동 튜닝·성능 최적화·유지보수 영향 분석,1.0,True
T2-000050,GOLD-035,조회,HPC 클러스터 토폴로지 시각화,1.0,True
T2-000051,GOLD-036,조회,HPC 주요 리소스 대시보드,1.0,True
T2-000052,GOLD-037,조회,HPC 장애 노드·네트워크 경로 강조,1.0,True
T2-000053,GOLD-038,조회,HPC 사용자별 사용량·작업 현황,1.0,True
T2-000054,GOLD-039,분석,HPC 작업 실행시간·자원 소모율 분석,1.0,True
T2-000055,GOLD-040,조회,HPC 사용 로그·과거 작업 내역,1.0,True
T2-000056,GOLD-041,조회,HPC 성능 최적화 제안,1.0,True
T2-000057,GOLD-042,조회,HPC 성능 저하·장애 알림,1.0,True
T2-000058,GOLD-043,조회,HPC 리소스 임계치 초과 알림,1.0,True
T2-000059,GOLD-044,조회,HPC 자동 조치 버튼,1.0,True
T2-000060,GOLD-045,관리,HPC 자동 스케일링·재시작 정책 설정,1.0,True
T2-000061,GOLD-046,조회,하이브리드 HPC 환경 통합 관리,0.972249,True
T2-000062,GOLD-046,관리,하이브리드 HPC 자동 배치·이동,0.974447,True
T2-000063,GOLD-047,관리,장애 복구 자동화 및 모니터링,1.0,True
T2-000064,GOLD-048,산출,장애 복구 보고서 및 개선점 분석,1.0,True
T2-000065,GOLD-049,관리,VM·BM·컨테이너 통합 보안정책 관리,1.0,True
T2-000066,GOLD-050,처리,동적 확장 환경 자원 보안정책 자동 적용,1.0,True
T2-000067,GOLD-051,모니터링,자원 유형별 보안상태 실시간 모니터링,1.0,True
T2-000068,GOLD-010,검증,자원 이상행위 탐지 및 알림,0.97316,True
T2-000069,GOLD-052,권한,VM·BM 역할 기반 접근권한 설정 및 감사,0.976499,True
T2-000070,GOLD-053,처리,HPC 장애 실시간 ChatOps 자동화,1.0,True
T2-000071,GOLD-054,조회,반복장애 ChatOps 워크플로우 관리·실행결과 공유,1.0,True
T2-000072,GOLD-055,제공,HPC 장애대응 정보 역할별 보고,1.0,True
T2-000073,GOLD-056,산출,HPC 장애대응 자동 리포트,1.0,True
T2-000074,GOLD-057,분석,병렬 파일 시스템·클라우드 스토리지 성능 벤치마크,0.960773,True
T2-000075,GOLD-058,연계,클라우드 객체 스토리지 연동 어댑터,0.976938,True
T2-000076,GOLD-059,보안,스토리지 액세스 인증·권한·로그 관리,1.0,True
T2-000077,GOLD-057,산출,스토리지 I/O 성능 비교 리포트,0.955472,True
T2-000078,GOLD-060,분석,HPC 워크로드·스토리지 적합도 분석·시뮬레이션,1.0,True
T2-000079,GOLD-057,산출,스토리지 최적화 방안 리포트,0.949943,True
T2-000080,GOLD-061,분석,HPC I/O 프로파일링 및 분석,1.0,True
T2-000081,GOLD-062,연계,컨테이너 기반 I/O 추적·통합 분석,1.0,True
T2-000082,GOLD-058,연계,HPC 클라우드 어댑터,0.967816,True
T2-000083,GOLD-052,권한,I/O 프로파일링 기반 접근권한·정책 설정,0.952237,True
T2-000084,GOLD-007,연계,I/O 특성 기반 자동 리소스 할당·구성,0.93367,True
T2-000085,GOLD-063,관리,VM Lustre 자동·동적·스케줄·중앙·워크로드 마운트 관리,1.0,True
T2-000086,GOLD-033,분석,Lustre 마운트 성능 영향도 분석·비교,0.961649,True
T2-000087,GOLD-064,연계,VM NFS·Ceph·GlusterFS 자동 연계,1.0,True
T2-000088,GOLD-065,관리,VM 외 스토리지 워크로드 기반 스케줄링·변경·모니터링,1.0,True
T2-000089,GOLD-066,관리,이종 HPC 워크로드 유형별 분류·자원 우선순위·처리방식 정의,1.0,True
T2-000090,GOLD-067,처리,워크로드 로그·이력·특성·자원 상태 기반 최적 실행 계획 계산,1.0,True
T2-000091,GOLD-068,산출,최적화 워크로드 스케줄링 정책 생성·자동 배포·변경 이력 추적,1.0,True
T2-000092,GOLD-069,처리,동적 자원 변화에 따른 스케줄링 정책 재계산·재적용,1.0,True
T2-000093,GOLD-070,관리,서비스 유형별 자원 요구 특성 정의,1.0,True
T2-000094,GOLD-071,관리,서비스 자원 조합·성능·변경 이력 관리,1.0,True
T2-000095,GOLD-072,처리,서비스 유형별 자원 자동 프로비저닝·컨테이너 배포,1.0,True
T2-000096,GOLD-073,처리,고전 알고리즘 자동 매핑,1.0,True
T2-000097,GOLD-074,제공,양자 게이트 세트 지원,1.0,True
T2-000098,GOLD-075,처리,양자 회로 최적화 컴파일,1.0,True
T2-000099,GOLD-076,처리,게이트 융합·단순화,1.0,True
T2-000100,GOLD-077,제공,진폭·기저 인코딩,1.0,True
T2-000101,GOLD-078,제공,데이터 특성 기반 인코딩 추천,1.0,True
T2-000102,GOLD-079,제공,큐비트 사용량 최소화 인코딩,1.0,True
