gold_id,requirement_name,source_task2_ids,source_task2_count,source_pair_min_similarity,source_pair_average_similarity,source_to_final_min_similarity,overmerge_review
GOLD-002,CXL 메모리 프레임워크 설계·동적 할당·CRD·공유 활용,T2-000002; T2-000003; T2-000006; T2-000020; T2-000023; T2-000027; T2-000028; T2-000033,8,0.892683,0.926752,0.907961,False
GOLD-004,CXL 메모리 대역폭·지연 분석·계층적 관리,T2-000005; T2-000019,2,0.97008,0.97008,0.97008,False
GOLD-005,CXL 메모리 대역폭·지연·링크별 사용량 모니터링,T2-000007; T2-000011; T2-000015,3,0.939971,0.958979,0.968718,False
GOLD-007,워크로드 특성 기반 자동 리소스 할당·메모리 우선순위·인스턴스 추천,T2-000009; T2-000010; T2-000036; T2-000084,4,0.87088,0.899045,0.926443,False
GOLD-009,캐시·메모리 접근 패턴 모니터링·시각화,T2-000013; T2-000014; T2-000016,3,0.895135,0.926823,0.958784,False
GOLD-010,성능·자원 이상행위 탐지 및 Alert,T2-000017; T2-000068,2,0.917693,0.917693,0.959417,False
GOLD-016,SLURM CXL-aware Job Scheduling 및 NUMA-Aware·CXL 메모리 기반 클러스터 배포,T2-000026; T2-000037,2,0.919602,0.919602,0.964182,False
GOLD-033,HA 노드 유지보수 이력·Lustre 마운트 성능 영향도 분석,T2-000048; T2-000086,2,0.88327,0.88327,0.94774,False
GOLD-046,하이브리드 HPC 자동 배치·이동,T2-000061; T2-000062,2,0.935845,0.935845,0.972249,False
GOLD-052,VM·BM·I/O 프로파일링 기반 접근권한·정책 설정 및 감사,T2-000069; T2-000083,2,0.90161,0.90161,0.952237,False
GOLD-057,스토리지 성능·최적화 분석 리포트,T2-000074; T2-000077; T2-000079,3,0.907325,0.921782,0.949943,False
GOLD-058,클라우드 객체 스토리지·HPC 클라우드 연동 어댑터,T2-000075; T2-000082,2,0.92597,0.92597,0.967816,False
