source_fur_id,source_requirement_name,linked_gold_ids,linked_gold_count,lineage_semantic_max,overall_semantic_max,overall_best_gold_id,source_covered,passes_semantic_threshold
SFR-001,CXL 메모리 적용을 위한 프레임워크 설계,GOLD-001; GOLD-002; GOLD-003; GOLD-004; GOLD-005,5,0.947754,0.947754,GOLD-002,True,True
SFR-002,CXL 메모리 적용을 위한 프레임워크 개발,GOLD-005; GOLD-006; GOLD-007; GOLD-008; GOLD-009; GOLD-010,6,0.920359,0.926437,GOLD-019,True,True
SFR-003,HPC SW에 대한 CXL 메모리 적용,GOLD-002; GOLD-004; GOLD-011; GOLD-012; GOLD-013; GOLD-014; GOLD-015; GOLD-016,8,0.926991,0.926991,GOLD-002,True,True
SFR-004,CXL 메모리 기반 가상자원 파이프라인 기능,GOLD-002; GOLD-017; GOLD-018; GOLD-019; GOLD-020; GOLD-021; GOLD-022,7,0.931335,0.931335,GOLD-002,True,True
SFR-005,클라우드 컴퓨팅 최적화 및 사용량 관리,GOLD-007; GOLD-016; GOLD-023; GOLD-024; GOLD-025; GOLD-026; GOLD-027,7,0.929659,0.929659,GOLD-026,True,True
SFR-006,과학기반 유지보수 계획 관리,GOLD-028; GOLD-029; GOLD-030; GOLD-031; GOLD-032; GOLD-033; GOLD-034,7,0.909087,0.909087,GOLD-034,True,True
SFR-007,HPC 통합 관리를 위한 UI/UX 개발,GOLD-035; GOLD-036; GOLD-037; GOLD-038; GOLD-039; GOLD-040; GOLD-041; GOLD-042; GOLD-043; GOLD-044; GOLD-045; GOLD-046,12,0.930933,0.930933,GOLD-046,True,True
SFR-008,장애 예방 및 대응 기능,GOLD-047; GOLD-048,2,0.957485,0.957485,GOLD-047,True,True
SFR-009,통합 보안 강화 관리,GOLD-010; GOLD-049; GOLD-050; GOLD-051; GOLD-052,5,0.941222,0.941222,GOLD-049,True,True
SFR-010,운영 자동화를 위한 ChatOps 기능,GOLD-053; GOLD-054; GOLD-055; GOLD-056,4,0.95749,0.95749,GOLD-053,True,True
SFR-011,병렬 I/O 평가 및 최적화 분류 기능,GOLD-057; GOLD-058; GOLD-059; GOLD-060,4,0.938193,0.938193,GOLD-057,True,True
SFR-012,HPC 작업에 대한 I/O 프로파일링 및 특성화 기능,GOLD-007; GOLD-052; GOLD-058; GOLD-061; GOLD-062,5,0.922557,0.922557,GOLD-058,True,True
SFR-013,병렬 파일 및 스토리지 시스템 성능 최적화,GOLD-033; GOLD-063; GOLD-064; GOLD-065,4,0.937044,0.937044,GOLD-063,True,True
SFR-014,이종 HPC 워크로드 계산 및 최적화 브로커링 기능,GOLD-066; GOLD-067; GOLD-068; GOLD-069,4,0.926981,0.926981,GOLD-066,True,True
SFR-015,어플리케이션별 가상 자원 추천 기능,GOLD-070; GOLD-071; GOLD-072,3,0.928981,0.928981,GOLD-072,True,True
SFR-016,HPC 및 양자 시스템 연결 기능,GOLD-073; GOLD-074; GOLD-075; GOLD-076; GOLD-077; GOLD-078; GOLD-079; GOLD-080; GOLD-081; GOLD-082; GOLD-083; GOLD-084; GOLD-085; GOLD-086; GOLD-087; GOLD-088; GOLD-089,17,0.8995,0.8995,GOLD-089,True,True
SFR-017,HPC 성능 개선을 위한 벤치마크 기능,GOLD-090; GOLD-091; GOLD-092; GOLD-093; GOLD-094; GOLD-095; GOLD-096; GOLD-097; GOLD-098; GOLD-099,10,0.922221,0.922221,GOLD-091,True,True
