gold_id,missing_required_fields,required_field_completeness,requirement_name_length,requirement_detail_length,name_length_ok,detail_length_ok,name_not_placeholder,detail_not_placeholder,detail_has_sentence_end,source_task2_count,source_atomic_count,source_fur_count,name_detail_semantic_similarity
GOLD-001,,1.0,27,58,True,True,True,True,True,1,2,1,0.941153
GOLD-002,,1.0,32,157,True,True,True,True,True,8,20,3,0.895363
GOLD-003,,1.0,17,34,True,True,True,True,True,1,1,1,0.912779
GOLD-004,,1.0,24,53,True,True,True,True,True,2,3,2,0.960614
GOLD-005,,1.0,27,58,True,True,True,True,True,3,3,2,0.942413
GOLD-006,,1.0,24,60,True,True,True,True,True,1,1,1,0.939078
GOLD-007,,1.0,37,81,True,True,True,True,True,4,4,3,0.963306
GOLD-008,,1.0,12,46,True,True,True,True,True,1,1,1,0.916149
GOLD-009,,1.0,21,54,True,True,True,True,True,3,3,1,0.93168
GOLD-010,,1.0,21,66,True,True,True,True,True,2,2,2,0.912349
GOLD-011,,1.0,22,37,True,True,True,True,True,1,1,1,0.965024
GOLD-012,,1.0,22,39,True,True,True,True,True,1,1,1,0.94721
GOLD-013,,1.0,22,58,True,True,True,True,True,1,1,1,0.932415
GOLD-014,,1.0,20,55,True,True,True,True,True,1,1,1,0.93516
GOLD-015,,1.0,27,71,True,True,True,True,True,1,1,1,0.957172
GOLD-016,,1.0,62,90,True,True,True,True,True,2,2,2,0.975195
GOLD-017,,1.0,10,39,True,True,True,True,True,1,2,1,0.897036
GOLD-018,,1.0,19,53,True,True,True,True,True,1,2,1,0.952915
GOLD-019,,1.0,20,50,True,True,True,True,True,1,2,1,0.969156
GOLD-020,,1.0,26,52,True,True,True,True,True,1,2,1,0.962015
GOLD-021,,1.0,21,62,True,True,True,True,True,1,1,1,0.923503
GOLD-022,,1.0,19,35,True,True,True,True,True,1,1,1,0.946457
GOLD-023,,1.0,19,38,True,True,True,True,True,1,2,1,0.949216
GOLD-024,,1.0,29,76,True,True,True,True,True,1,2,1,0.942426
GOLD-025,,1.0,18,47,True,True,True,True,True,1,1,1,0.937325
GOLD-026,,1.0,31,62,True,True,True,True,True,1,2,1,0.955003
GOLD-027,,1.0,25,74,True,True,True,True,True,1,1,1,0.927297
GOLD-028,,1.0,22,42,True,True,True,True,True,1,1,1,0.95802
GOLD-029,,1.0,23,37,True,True,True,True,True,1,1,1,0.955039
GOLD-030,,1.0,11,26,True,True,True,True,True,1,1,1,0.95655
GOLD-031,,1.0,22,46,True,True,True,True,True,1,1,1,0.950165
GOLD-032,,1.0,10,40,True,True,True,True,True,1,1,1,0.92931
GOLD-033,,1.0,34,103,True,True,True,True,True,2,3,2,0.912696
GOLD-034,,1.0,27,61,True,True,True,True,True,1,3,1,0.916085
GOLD-035,,1.0,17,46,True,True,True,True,True,1,2,1,0.936826
GOLD-036,,1.0,15,60,True,True,True,True,True,1,2,1,0.90243
GOLD-037,,1.0,20,47,True,True,True,True,True,1,2,1,0.924807
GOLD-038,,1.0,18,47,True,True,True,True,True,1,2,1,0.927054
GOLD-039,,1.0,21,47,True,True,True,True,True,1,1,1,0.961813
GOLD-040,,1.0,18,41,True,True,True,True,True,1,2,1,0.928669
GOLD-041,,1.0,13,46,True,True,True,True,True,1,1,1,0.935295
GOLD-042,,1.0,15,42,True,True,True,True,True,1,2,1,0.930227
GOLD-043,,1.0,17,40,True,True,True,True,True,1,2,1,0.93417
GOLD-044,,1.0,12,50,True,True,True,True,True,1,2,1,0.893867
GOLD-045,,1.0,21,52,True,True,True,True,True,1,1,1,0.954233
GOLD-046,,1.0,18,107,True,True,True,True,True,2,4,1,0.889923
GOLD-047,,1.0,16,92,True,True,True,True,True,1,3,1,0.888359
GOLD-048,,1.0,18,60,True,True,True,True,True,1,1,1,0.922795
GOLD-049,,1.0,21,44,True,True,True,True,True,1,1,1,0.957004
GOLD-050,,1.0,22,52,True,True,True,True,True,1,1,1,0.938704
GOLD-051,,1.0,20,44,True,True,True,True,True,1,1,1,0.938824
GOLD-052,,1.0,34,122,True,True,True,True,True,2,2,2,0.937427
GOLD-053,,1.0,22,59,True,True,True,True,True,1,1,1,0.914789
GOLD-054,,1.0,29,87,True,True,True,True,True,1,2,1,0.952532
GOLD-055,,1.0,18,101,True,True,True,True,True,1,1,1,0.876537
GOLD-056,,1.0,15,55,True,True,True,True,True,1,1,1,0.901983
GOLD-057,,1.0,18,86,True,True,True,True,True,3,6,1,0.90681
GOLD-058,,1.0,28,92,True,True,True,True,True,2,2,2,0.94062
GOLD-059,,1.0,20,56,True,True,True,True,True,1,1,1,0.934097
GOLD-060,,1.0,26,77,True,True,True,True,True,1,5,1,0.953439
GOLD-061,,1.0,18,39,True,True,True,True,True,1,1,1,0.924792
GOLD-062,,1.0,20,41,True,True,True,True,True,1,1,1,0.917418
GOLD-063,,1.0,34,126,True,True,True,True,True,1,7,1,0.932878
GOLD-064,,1.0,27,63,True,True,True,True,True,1,1,1,0.938905
GOLD-065,,1.0,30,144,True,True,True,True,True,1,1,1,0.917272
GOLD-066,,1.0,34,58,True,True,True,True,True,1,1,1,0.972415
GOLD-067,,1.0,34,87,True,True,True,True,True,1,2,1,0.947939
GOLD-068,,1.0,34,47,True,True,True,True,True,1,1,1,0.94676
GOLD-069,,1.0,28,38,True,True,True,True,True,1,1,1,0.964226
GOLD-070,,1.0,19,56,True,True,True,True,True,1,1,1,0.952446
GOLD-071,,1.0,21,90,True,True,True,True,True,1,2,1,0.903806
GOLD-072,,1.0,27,85,True,True,True,True,True,1,2,1,0.928508
GOLD-073,,1.0,13,66,True,True,True,True,True,1,2,1,0.935932
GOLD-074,,1.0,12,53,True,True,True,True,True,1,2,1,0.924632
GOLD-075,,1.0,13,58,True,True,True,True,True,1,2,1,0.942044
GOLD-076,,1.0,10,72,True,True,True,True,True,1,1,1,0.896124
GOLD-077,,1.0,9,64,True,True,True,True,True,1,2,1,0.899674
GOLD-078,,1.0,16,60,True,True,True,True,True,1,2,1,0.938876
GOLD-079,,1.0,15,71,True,True,True,True,True,1,2,1,0.927836
GOLD-080,,1.0,11,56,True,True,True,True,True,1,2,1,0.905238
GOLD-081,,1.0,13,61,True,True,True,True,True,1,1,1,0.913571
GOLD-082,,1.0,13,63,True,True,True,True,True,1,2,1,0.896449
GOLD-083,,1.0,15,52,True,True,True,True,True,1,2,1,0.93723
GOLD-084,,1.0,15,65,True,True,True,True,True,1,2,1,0.862374
GOLD-085,,1.0,14,50,True,True,True,True,True,1,2,1,0.951927
GOLD-086,,1.0,14,60,True,True,True,True,True,1,2,1,0.882151
GOLD-087,,1.0,16,59,True,True,True,True,True,1,2,1,0.92431
GOLD-088,,1.0,15,54,True,True,True,True,True,1,2,1,0.92507
GOLD-089,,1.0,22,88,True,True,True,True,True,1,1,1,0.932014
GOLD-090,,1.0,17,37,True,True,True,True,True,1,1,1,0.956899
GOLD-091,,1.0,17,38,True,True,True,True,True,1,2,1,0.949998
GOLD-092,,1.0,18,55,True,True,True,True,True,1,2,1,0.868242
GOLD-093,,1.0,20,45,True,True,True,True,True,1,2,1,0.889838
GOLD-094,,1.0,18,35,True,True,True,True,True,1,2,1,0.908842
GOLD-095,,1.0,21,36,True,True,True,True,True,1,2,1,0.903816
GOLD-096,,1.0,14,47,True,True,True,True,True,1,2,1,0.949213
GOLD-097,,1.0,19,38,True,True,True,True,True,1,2,1,0.916661
GOLD-098,,1.0,20,33,True,True,True,True,True,1,1,1,0.895029
GOLD-099,,1.0,21,67,True,True,True,True,True,1,2,1,0.875871
