left_index,right_index,left_id,right_id,cosine_similarity,same_action_type,source_overlap,name_jaccard,mutual_top_k,adaptive_floor,high_match,evidence_match,lexical_match,action_match,connect,reason
0,2,T2-000001,T2-000003,0.893587,True,True,0.2,True,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
0,28,T2-000001,T2-000029,0.89296,True,False,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
1,18,T2-000002,T2-000019,0.924419,False,False,0.333333,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
2,13,T2-000003,T2-000014,0.914476,True,False,0.0,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
2,28,T2-000003,T2-000029,0.887276,True,False,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
3,4,T2-000004,T2-000005,0.918171,False,True,0.333333,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
3,13,T2-000004,T2-000014,0.923334,False,False,0.375,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
4,13,T2-000005,T2-000014,0.935489,True,False,0.222222,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
5,25,T2-000006,T2-000026,0.932809,True,False,0.428571,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
6,7,T2-000007,T2-000008,0.939799,False,True,0.5,True,0.91,True,True,True,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP']"
6,23,T2-000007,T2-000024,0.931372,False,False,0.2,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
7,23,T2-000008,T2-000024,0.925912,True,False,0.2,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
8,40,T2-000009,T2-000041,0.87823,True,False,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
9,10,T2-000010,T2-000011,0.917125,False,True,0.166667,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
9,11,T2-000010,T2-000012,0.940054,True,True,0.4,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
9,12,T2-000010,T2-000013,0.976707,True,True,0.75,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
9,47,T2-000010,T2-000048,0.903489,True,False,0.166667,True,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
9,49,T2-000010,T2-000050,0.893626,True,False,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
10,12,T2-000011,T2-000013,0.919924,False,True,0.2,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
10,44,T2-000011,T2-000045,0.927269,True,False,0.2,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
11,12,T2-000012,T2-000013,0.934893,True,True,0.5,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
12,47,T2-000013,T2-000048,0.903044,True,False,0.2,True,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
12,49,T2-000013,T2-000050,0.898422,True,False,0.166667,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
13,15,T2-000014,T2-000016,0.924551,False,True,0.090909,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
16,18,T2-000017,T2-000019,0.933979,False,True,0.285714,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
16,19,T2-000017,T2-000020,0.911306,True,True,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
16,39,T2-000017,T2-000040,0.891806,True,False,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
18,36,T2-000019,T2-000037,0.924253,False,False,0.111111,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
19,30,T2-000020,T2-000031,0.923678,False,False,0.142857,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
19,36,T2-000020,T2-000037,0.924636,False,False,0.125,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
