group_no,group_type,size,task2_ids,min_pair_similarity,average_pair_similarity,max_pair_similarity,exceeds_group_limit
1.0,SIMILAR,6,"['T2-000001', 'T2-000003', 'T2-000004', 'T2-000005', 'T2-000014', 'T2-000016']",0.857692,0.900553,0.935489,False
2.0,SIMILAR,7,"['T2-000002', 'T2-000009', 'T2-000017', 'T2-000019', 'T2-000040', 'T2-000041', 'T2-000042']",0.843363,0.885975,0.946706,False
3.0,SIMILAR,2,"['T2-000006', 'T2-000026']",0.932809,0.932809,0.932809,False
4.0,SIMILAR,3,"['T2-000007', 'T2-000008', 'T2-000024']",0.925912,0.932361,0.939799,False
5.0,SIMILAR,6,"['T2-000010', 'T2-000011', 'T2-000012', 'T2-000013', 'T2-000045', 'T2-000048']",0.854942,0.899686,0.976707,False
6.0,SIMILAR,8,"['T2-000020', 'T2-000027', 'T2-000029', 'T2-000030', 'T2-000031', 'T2-000037', 'T2-000049', 'T2-000050']",0.897239,0.920331,0.949033,False
7.0,SIMILAR,2,"['T2-000021', 'T2-000022']",0.911526,0.911526,0.911526,False
8.0,SIMILAR,2,"['T2-000034', 'T2-000036']",0.935709,0.935709,0.935709,False
9.0,SIMILAR,3,"['T2-000038', 'T2-000039', 'T2-000051']",0.895171,0.922271,0.940779,False
10.0,SIMILAR,2,"['T2-000043', 'T2-000044']",0.916364,0.916364,0.916364,False
,SINGLETON,1,['T2-000015'],,,,False
,SINGLETON,1,['T2-000018'],,,,False
,SINGLETON,1,['T2-000023'],,,,False
,SINGLETON,1,['T2-000025'],,,,False
,SINGLETON,1,['T2-000028'],,,,False
,SINGLETON,1,['T2-000032'],,,,False
,SINGLETON,1,['T2-000033'],,,,False
,SINGLETON,1,['T2-000035'],,,,False
,SINGLETON,1,['T2-000046'],,,,False
,SINGLETON,1,['T2-000047'],,,,False
